client_code,name,assumption_message
1,Айгерим,"Айгерим, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
2,Данияр,"Данияр, у вас есть свободные средства. Золотые слитки — надёжный способ сохранить капитал. Узнать подробнее"
3,Сабина,"Сабина, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
4,Тимур,"Тимур, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
5,Камилла,"Камилла, у вас есть свободные средства. Золотые слитки — надёжный способ сохранить капитал. Узнать подробнее"
6,Аян,"Аян, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
7,Руслан,"Руслан, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
8,Мадина,"Мадина, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
9,Арман,"Арман, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
10,Карина,"Карина, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
11,Бауржан,"Бауржан, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
12,Жанар,"Жанар, если нужны средства на важные цели — доступен кредит с удобными выплатами. Узнать лимит"
13,Алина,"Алина, если нужны средства на важные цели — доступен кредит с удобными выплатами. Узнать лимит"
14,Диас,"Диас, если нужны средства на важные цели — доступен кредит с удобными выплатами. Узнать лимит"
15,Нурия,"Нурия, если нужны средства на важные цели — доступен кредит с удобными выплатами. Узнать лимит"
16,Ерасыл,"Ерасыл, у вас активные траты на поездки и такси. С картой для путешествий часть расходов вернётся кешбэком. Оформить карту"
17,Жанель,"Жанель, если нужны средства на важные цели — доступен кредит с удобными выплатами. Узнать лимит"
18,Санжар,"Санжар, если нужны средства на важные цели — доступен кредит с удобными выплатами. Узнать лимит"
19,Азамат,"Азамат, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
20,Анель,"Анель, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
21,Павел,"Павел, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
22,Аружан,"Аружан, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
23,Темирлан,"Темирлан, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
24,Гульмира,"Гульмира, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
25,Адиль,"Адиль, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
26,Маржан,"Маржан, у вас активные траты на поездки и такси. С картой для путешествий часть расходов вернётся кешбэком. Оформить карту"
27,Нурсултан,"Нурсултан, у вас активные траты на поездки и такси. С картой для путешествий часть расходов вернётся кешбэком. Оформить карту"
28,Алтынай,"Алтынай, у вас активные траты на поездки и такси. С картой для путешествий часть расходов вернётся кешбэком. Оформить карту"
29,Сая,"Сая, у вас активные траты на поездки и такси. С картой для путешествий часть расходов вернётся кешбэком. Оформить карту"
30,Ербол,"Ербол, у вас активные траты на поездки и такси. С картой для путешествий часть расходов вернётся кешбэком. Оформить карту"
31,Дамир,"Дамир, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
32,Алия,"Алия, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
33,Мерей,"Мерей, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
34,Инкар,"Инкар, ваши активные категории — покупки и онлайн-сервисы. Кредитная карта даёт до 10% кешбэка. Оформить карту"
